,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_java_researcher_1,classification_report_java_researcher_1,macro_f1_java_researcher_1,roc-auc_java_researcher_1,perf_predict_runtime_java_researcher_1,timeit_runtime_java_researcher_1,man_validation_samples_java_researcher_2,classification_report_java_researcher_2,macro_f1_java_researcher_2,roc-auc_java_researcher_2,perf_predict_runtime_java_researcher_2,timeit_runtime_java_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0663680600118823,3.015412109375,878,6250,0,6575,"{""artifact"": {""precision"": 0.9854838709677419, ""recall"": 0.9123293515358362, ""f1-score"": 0.9474966770048738, ""support"": 4688}, ""text"": {""precision"": 0.8161073825503355, ""recall"": 0.9666136724960255, ""f1-score"": 0.8850072780203785, ""support"": 1887}, ""accuracy"": 0.9279087452471483, ""macro avg"": {""precision"": 0.9007956267590387, ""recall"": 0.9394715120159308, ""f1-score"": 0.9162519775126261, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9368734628090125, ""recall"": 0.9279087452471483, ""f1-score"": 0.9295624570986012, ""support"": 6575}}",0.9162519775126261,0.9394715120159307,0.43381076501100324,0.44018329349928537,6578,"{""artifact"": {""precision"": 0.9852602487333026, ""recall"": 0.915667808219178, ""f1-score"": 0.9491901486576437, ""support"": 4672}, ""text"": {""precision"": 0.8237924865831843, ""recall"": 0.9664218258132214, ""f1-score"": 0.8894253983582809, ""support"": 1906}, ""accuracy"": 0.9303739738522347, ""macro avg"": {""precision"": 0.9045263676582435, ""recall"": 0.9410448170161998, ""f1-score"": 0.9193077735079623, ""support"": 6578}, ""weighted avg"": {""precision"": 0.938474363257759, ""recall"": 0.9303739738522347, ""f1-score"": 0.9318730896624194, ""support"": 6578}}",0.9193077735079623,0.9410448170161996,0.43885014999250416,0.43725959270086606
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0478489520028234,2.98963671875,885,6250,1,6575,"{""artifact"": {""precision"": 0.9885030502111685, ""recall"": 0.8986774744027304, ""f1-score"": 0.9414525139664804, ""support"": 4688}, ""text"": {""precision"": 0.7946389969736273, ""recall"": 0.9740328563857975, ""f1-score"": 0.8752380952380953, ""support"": 1887}, ""accuracy"": 0.9203041825095057, ""macro avg"": {""precision"": 0.8915710235923979, ""recall"": 0.9363551653942639, ""f1-score"": 0.9083453046022878, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9328648040576719, ""recall"": 0.9203041825095057, ""f1-score"": 0.9224492275572846, ""support"": 6575}}",0.9083453046022878,0.936355165394264,0.4326363310101442,0.4321987318995525,6578,"{""artifact"": {""precision"": 0.9878105954055321, ""recall"": 0.9019691780821918, ""f1-score"": 0.9429402550906243, ""support"": 4672}, ""text"": {""precision"": 0.8019031141868512, ""recall"": 0.9727177334732424, ""f1-score"": 0.8790896159317212, ""support"": 1906}, ""accuracy"": 0.9224688355123137, ""macro avg"": {""precision"": 0.8948568547961917, ""recall"": 0.9373434557777172, ""f1-score"": 0.9110149355111727, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9339432103032509, ""recall"": 0.9224688355123137, ""f1-score"": 0.9244392945803067, ""support"": 6578}}",0.9110149355111727,0.9373434557777172,0.43159409500367474,0.43452602079923963
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9841197060013656,2.9975673828125,800,6250,2,6575,"{""artifact"": {""precision"": 0.9853311941324776, ""recall"": 0.9170221843003413, ""f1-score"": 0.9499502817368246, ""support"": 4688}, ""text"": {""precision"": 0.8241410488245932, ""recall"": 0.9660837307896132, ""f1-score"": 0.8894852403025129, ""support"": 1887}, ""accuracy"": 0.9311026615969582, ""macro avg"": {""precision"": 0.9047361214785354, ""recall"": 0.9415529575449773, ""f1-score"": 0.9197177610196687, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9390702353194011, ""recall"": 0.9311026615969582, ""f1-score"": 0.9325970447502777, ""support"": 6575}}",0.9197177610196687,0.9415529575449773,0.4313618690066505,0.43131527040095535,6578,"{""artifact"": {""precision"": 0.984657659720632, ""recall"": 0.9203767123287672, ""f1-score"": 0.9514326806062618, ""support"": 4672}, ""text"": {""precision"": 0.8317503392130258, ""recall"": 0.9648478488982162, ""f1-score"": 0.8933689579791109, ""support"": 1906}, ""accuracy"": 0.9332623897841289, ""macro avg"": {""precision"": 0.908203999466829, ""recall"": 0.9426122806134917, ""f1-score"": 0.9224008192926864, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9403521940946822, ""recall"": 0.9332623897841289, ""f1-score"": 0.9346085007146002, ""support"": 6578}}",0.9224008192926864,0.9426122806134917,0.4321764680062188,0.4296328796001035
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9597770419932203,2.9367177734375,592,6250,3,6575,"{""artifact"": {""precision"": 0.9862918215613383, ""recall"": 0.9055034129692833, ""f1-score"": 0.9441725978647686, ""support"": 4688}, ""text"": {""precision"": 0.8049317481285777, ""recall"": 0.9687334393216747, ""f1-score"": 0.8792688792688793, ""support"": 1887}, ""accuracy"": 0.9236501901140685, ""macro avg"": {""precision"": 0.8956117848449581, ""recall"": 0.937118426145479, ""f1-score"": 0.911720738566824, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9342421700681643, ""recall"": 0.9236501901140685, ""f1-score"": 0.9255454774099484, ""support"": 6575}}",0.911720738566824,0.937118426145479,0.4330303300084779,0.4318302867002785,6578,"{""artifact"": {""precision"": 0.9842080817464004, ""recall"": 0.9071061643835616, ""f1-score"": 0.9440855424370683, ""support"": 4672}, ""text"": {""precision"": 0.8089788732394366, ""recall"": 0.9643231899265478, ""f1-score"": 0.8798468166586884, ""support"": 1906}, ""accuracy"": 0.9236850106415324, ""macro avg"": {""precision"": 0.8965934774929185, ""recall"": 0.9357146771550546, ""f1-score"": 0.9119661795478784, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9334347659339538, ""recall"": 0.9236850106415324, ""f1-score"": 0.9254721323833146, ""support"": 6578}}",0.9119661795478784,0.9357146771550546,0.43072131799999624,0.42858204090007346
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0519854839949403,2.9880595703125,238,6250,4,6575,"{""artifact"": {""precision"": 0.9854970760233918, ""recall"": 0.8986774744027304, ""f1-score"": 0.9400870244337833, ""support"": 4688}, ""text"": {""precision"": 0.7934782608695652, ""recall"": 0.9671436142024378, ""f1-score"": 0.8717458801050872, ""support"": 1887}, ""accuracy"": 0.9183269961977186, ""macro avg"": {""precision"": 0.8894876684464785, ""recall"": 0.932910544302584, ""f1-score"": 0.9059164522694353, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9303884061838067, ""recall"": 0.9183269961977186, ""f1-score"": 0.9204733758637074, ""support"": 6575}}",0.9059164522694353,0.9329105443025841,0.4369181850051973,0.4375652111993986,6578,"{""artifact"": {""precision"": 0.984108436550596, ""recall"": 0.9013270547945206, ""f1-score"": 0.94090045804938, ""support"": 4672}, ""text"": {""precision"": 0.7994780339277947, ""recall"": 0.9643231899265478, ""f1-score"": 0.8741973840665873, ""support"": 1906}, ""accuracy"": 0.9195804195804196, ""macro avg"": {""precision"": 0.8917932352391953, ""recall"": 0.9328251223605342, ""f1-score"": 0.9075489210579837, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9306110897279964, ""recall"": 0.9195804195804196, ""f1-score"": 0.9215729939248433, ""support"": 6578}}",0.9075489210579837,0.9328251223605342,0.4330671890056692,0.43473763279907873
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0183097279950744,2.997630859375,932,6250,5,6575,"{""artifact"": {""precision"": 0.9855471438403304, ""recall"": 0.9163822525597269, ""f1-score"": 0.9497070852216205, ""support"": 4688}, ""text"": {""precision"": 0.8231046931407943, ""recall"": 0.9666136724960255, ""f1-score"": 0.8891055325371681, ""support"": 1887}, ""accuracy"": 0.9307984790874525, ""macro avg"": {""precision"": 0.9043259184905623, ""recall"": 0.9414979625278762, ""f1-score"": 0.9194063088793942, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9389267781414674, ""recall"": 0.9307984790874525, ""f1-score"": 0.9323146700253373, ""support"": 6575}}",0.9194063088793942,0.9414979625278762,0.42924122100521345,0.4297147391989711,6578,"{""artifact"": {""precision"": 0.984869325997249, ""recall"": 0.9195205479452054, ""f1-score"": 0.9510737214965684, ""support"": 4672}, ""text"": {""precision"": 0.8303249097472925, ""recall"": 0.9653725078698846, ""f1-score"": 0.8927704997573994, ""support"": 1906}, ""accuracy"": 0.932806324110672, ""macro avg"": {""precision"": 0.9075971178722707, ""recall"": 0.942446527907545, ""f1-score"": 0.9219221106269839, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9400895057825306, ""recall"": 0.932806324110672, ""f1-score"": 0.9341801458451764, ""support"": 6578}}",0.9219221106269839,0.942446527907545,0.42790742800571024,0.42965600510069635
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0905161799892085,2.99473828125,978,6250,6,6575,"{""artifact"": {""precision"": 0.989356779268857, ""recall"": 0.9121160409556314, ""f1-score"": 0.9491675915649279, ""support"": 4688}, ""text"": {""precision"": 0.817132711939636, ""recall"": 0.9756226815050344, ""f1-score"": 0.8893719806763285, ""support"": 1887}, ""accuracy"": 0.9303422053231939, ""macro avg"": {""precision"": 0.9032447456042465, ""recall"": 0.9438693612303328, ""f1-score"": 0.9192697861206283, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9399291267897331, ""recall"": 0.9303422053231939, ""f1-score"": 0.9320064785996371, ""support"": 6575}}",0.9192697861206283,0.9438693612303328,0.43463240600249264,0.4359184182991157,6578,"{""artifact"": {""precision"": 0.9884366327474561, ""recall"": 0.9148116438356164, ""f1-score"": 0.9502000889284127, ""support"": 4672}, ""text"": {""precision"": 0.8234250221827861, ""recall"": 0.9737670514165793, ""f1-score"": 0.8923076923076924, ""support"": 1906}, ""accuracy"": 0.931894192763758, ""macro avg"": {""precision"": 0.9059308274651211, ""recall"": 0.9442893476260978, ""f1-score"": 0.9212538906180525, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9406239039946039, ""recall"": 0.931894192763758, ""f1-score"": 0.9334255513852243, ""support"": 6578}}",0.9212538906180525,0.9442893476260978,0.435836566000944,0.43456739139946876
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0258213319903007,2.983404296875,692,6250,7,6575,"{""artifact"": {""precision"": 0.9877201112140871, ""recall"": 0.9093430034129693, ""f1-score"": 0.9469124833407374, ""support"": 4688}, ""text"": {""precision"": 0.8118636564851704, ""recall"": 0.9719130895601484, ""f1-score"": 0.884708152436083, ""support"": 1887}, ""accuracy"": 0.9273003802281369, ""macro avg"": {""precision"": 0.8997918838496288, ""recall"": 0.9406280464865588, ""f1-score"": 0.9158103178884103, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9372499773626093, ""recall"": 0.9273003802281369, ""f1-score"": 0.9290600768894701, ""support"": 6575}}",0.9158103178884103,0.9406280464865588,0.4366083739878377,0.43707889770012115,6578,"{""artifact"": {""precision"": 0.985869817002548, ""recall"": 0.910958904109589, ""f1-score"": 0.9469351429524975, ""support"": 4672}, ""text"": {""precision"": 0.8160106147722247, ""recall"": 0.9679958027282266, ""f1-score"": 0.8855291576673866, ""support"": 1906}, ""accuracy"": 0.9274855579203405, ""macro avg"": {""precision"": 0.9009402158873864, ""recall"": 0.9394773534189078, ""f1-score"": 0.916232150309942, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9366524805095418, ""recall"": 0.9274855579203405, ""f1-score"": 0.9291425300073134, ""support"": 6578}}",0.916232150309942,0.9394773534189078,0.432198430004064,0.4350059502001386
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0134410320024472,3.0513974609375,247,6250,8,6575,"{""artifact"": {""precision"": 0.9857076994006455, ""recall"": 0.9121160409556314, ""f1-score"": 0.9474850432085087, ""support"": 4688}, ""text"": {""precision"": 0.8158247653106839, ""recall"": 0.9671436142024378, ""f1-score"": 0.8850630455868089, ""support"": 1887}, ""accuracy"": 0.9279087452471483, ""macro avg"": {""precision"": 0.9007662323556647, ""recall"": 0.9396298275790346, ""f1-score"": 0.9162740443976588, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9369519432595417, ""recall"": 0.9279087452471483, ""f1-score"": 0.9295701672370794, ""support"": 6575}}",0.9162740443976588,0.9396298275790347,0.43561451899586245,0.4366132479990483,6578,"{""artifact"": {""precision"": 0.9859447004608295, ""recall"": 0.9158818493150684, ""f1-score"": 0.9496227252552153, ""support"": 4672}, ""text"": {""precision"": 0.824396782841823, ""recall"": 0.9679958027282266, ""f1-score"": 0.8904440154440154, ""support"": 1906}, ""accuracy"": 0.930982061416844, ""macro avg"": {""precision"": 0.9051707416513263, ""recall"": 0.9419388260216475, ""f1-score"": 0.9200333703496153, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9391355896396336, ""recall"": 0.930982061416844, ""f1-score"": 0.9324754736741654, ""support"": 6578}}",0.9200333703496153,0.9419388260216476,0.4405515219987137,0.43961312169994926
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0576459449948743,3.050673828125,728,6250,9,6575,"{""artifact"": {""precision"": 0.9888965995836225, ""recall"": 0.9119027303754266, ""f1-score"": 0.9488403062923094, ""support"": 4688}, ""text"": {""precision"": 0.816607460035524, ""recall"": 0.9745627980922098, ""f1-score"": 0.888620439719739, ""support"": 1887}, ""accuracy"": 0.9298859315589354, ""macro avg"": {""precision"": 0.9027520298095733, ""recall"": 0.9432327642338182, ""f1-score"": 0.9187303730060242, ""support"": 6575}, ""weighted avg"": {""precision"": 0.9394502716251036, ""recall"": 0.9298859315589354, ""f1-score"": 0.9315574335588584, ""support"": 6575}}",0.9187303730060242,0.9432327642338181,0.43309950998809654,0.4364123841005494,6578,"{""artifact"": {""precision"": 0.9879740980573543, ""recall"": 0.9143835616438356, ""f1-score"": 0.9497554468652734, ""support"": 4672}, ""text"": {""precision"": 0.8225377107364685, ""recall"": 0.9727177334732424, ""f1-score"": 0.8913461538461539, ""support"": 1906}, ""accuracy"": 0.9312861051991487, ""macro avg"": {""precision"": 0.9052559043969114, ""recall"": 0.943550647558539, ""f1-score"": 0.9205508003557137, ""support"": 6578}, ""weighted avg"": {""precision"": 0.9400382886572921, ""recall"": 0.9312861051991487, ""f1-score"": 0.9328311366654493, ""support"": 6578}}",0.9205508003557137,0.943550647558539,0.4341461239964701,0.43481179400114345
