,train_samples,params,perf_train_runtime,model_size,seed,train_frac,index,man_validation_samples_php_researcher_1,classification_report_php_researcher_1,macro_f1_php_researcher_1,roc-auc_php_researcher_1,perf_predict_runtime_php_researcher_1,timeit_runtime_php_researcher_1,man_validation_samples_php_researcher_2,classification_report_php_researcher_2,macro_f1_php_researcher_2,roc-auc_php_researcher_2,perf_predict_runtime_php_researcher_2,timeit_runtime_php_researcher_2
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.051635518000694,2.609029296875,498,6250,0,6190,"{""artifact"": {""precision"": 0.9806063916962579, ""recall"": 0.8495030761949834, ""f1-score"": 0.9103588183086091, ""support"": 4226}, ""text"": {""precision"": 0.7485172004744959, ""recall"": 0.9638492871690427, ""f1-score"": 0.8426441130647674, ""support"": 1964}, ""accuracy"": 0.8857835218093699, ""macro avg"": {""precision"": 0.8645617960853769, ""recall"": 0.906676181682013, ""f1-score"": 0.8765014656866883, ""support"": 6190}, ""weighted avg"": {""precision"": 0.906967753318303, ""recall"": 0.8857835218093699, ""f1-score"": 0.8888738940599977, ""support"": 6190}}",0.8765014656866883,0.9066761816820131,0.35157324199099094,0.3492798651976045,6189,"{""artifact"": {""precision"": 0.9661016949152542, ""recall"": 0.8418294425917103, ""f1-score"": 0.8996945010183299, ""support"": 4198}, ""text"": {""precision"": 0.7376531015408929, ""recall"": 0.9377197388247112, ""f1-score"": 0.8257408226448475, ""support"": 1991}, ""accuracy"": 0.8726773307481015, ""macro avg"": {""precision"": 0.8518773982280736, ""recall"": 0.8897745907082107, ""f1-score"": 0.8627176618315887, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8926098304123695, ""recall"": 0.8726773307481015, ""f1-score"": 0.8759036182195574, ""support"": 6189}}",0.8627176618315887,0.8897745907082107,0.3521424999926239,0.3521386522013927
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.011832163989311,2.5590517578125,255,6250,1,6190,"{""artifact"": {""precision"": 0.9738614928590676, ""recall"": 0.8551822053951728, ""f1-score"": 0.9106715383646213, ""support"": 4226}, ""text"": {""precision"": 0.7531262605889472, ""recall"": 0.9506109979633401, ""f1-score"": 0.8404231375196939, ""support"": 1964}, ""accuracy"": 0.8854604200323102, ""macro avg"": {""precision"": 0.8634938767240075, ""recall"": 0.9028966016792564, ""f1-score"": 0.8755473379421577, ""support"": 6190}, ""weighted avg"": {""precision"": 0.903825306077401, ""recall"": 0.8854604200323102, ""f1-score"": 0.8883827081126928, ""support"": 6190}}",0.8755473379421577,0.9028966016792564,0.3491902799869422,0.3476429770002142,6189,"{""artifact"": {""precision"": 0.9646995419024522, ""recall"": 0.8527870414483087, ""f1-score"": 0.9052977620432419, ""support"": 4198}, ""text"": {""precision"": 0.7506053268765133, ""recall"": 0.934203917629332, ""f1-score"": 0.8324009845603042, ""support"": 1991}, ""accuracy"": 0.8789788334141219, ""macro avg"": {""precision"": 0.8576524343894827, ""recall"": 0.8934954795388204, ""f1-score"": 0.868849373301773, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8958254778991166, ""recall"": 0.8789788334141219, ""f1-score"": 0.8818468840389554, ""support"": 6189}}",0.868849373301773,0.8934954795388204,0.34695364398066886,0.34787168209732044
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0921050299948547,2.6682138671875,183,6250,2,6190,"{""artifact"": {""precision"": 0.9703604806408545, ""recall"": 0.8599148130619971, ""f1-score"": 0.9118052941914438, ""support"": 4226}, ""text"": {""precision"": 0.7578732106339469, ""recall"": 0.9434826883910387, ""f1-score"": 0.8405534134724427, ""support"": 1964}, ""accuracy"": 0.8864297253634895, ""macro avg"": {""precision"": 0.8641168456374007, ""recall"": 0.901698750726518, ""f1-score"": 0.8761793538319433, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9029412563607953, ""recall"": 0.8864297253634895, ""f1-score"": 0.8891980738793084, ""support"": 6190}}",0.8761793538319433,0.901698750726518,0.3445788680110127,0.3430403420003131,6189,"{""artifact"": {""precision"": 0.9546916890080429, ""recall"": 0.848261076703192, ""f1-score"": 0.8983350151362262, ""support"": 4198}, ""text"": {""precision"": 0.7409516063440423, ""recall"": 0.9151180311401306, ""f1-score"": 0.8188764044943819, ""support"": 1991}, ""accuracy"": 0.8697689449022459, ""macro avg"": {""precision"": 0.8478216476760426, ""recall"": 0.8816895539216613, ""f1-score"": 0.858605709815304, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8859315493111573, ""recall"": 0.8697689449022459, ""f1-score"": 0.872773196783033, ""support"": 6189}}",0.858605709815304,0.8816895539216612,0.34580960700986907,0.3430004289984936
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9600077650102321,2.579802734375,407,6250,3,6190,"{""artifact"": {""precision"": 0.9789961811238407, ""recall"": 0.8492664458116422, ""f1-score"": 0.9095286365940193, ""support"": 4226}, ""text"": {""precision"": 0.7476228209191759, ""recall"": 0.9607942973523421, ""f1-score"": 0.8409090909090909, ""support"": 1964}, ""accuracy"": 0.8846526655896607, ""macro avg"": {""precision"": 0.8633095010215083, ""recall"": 0.9050303715819922, ""f1-score"": 0.8752188637515551, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9055846658666579, ""recall"": 0.8846526655896607, ""f1-score"": 0.8877566191909176, ""support"": 6190}}",0.8752188637515551,0.9050303715819923,0.34734788301284425,0.3458984166005393,6189,"{""artifact"": {""precision"": 0.9609822646657572, ""recall"": 0.838970938542163, ""f1-score"": 0.8958412819534529, ""support"": 4198}, ""text"": {""precision"": 0.7321711568938193, ""recall"": 0.9281767955801105, ""f1-score"": 0.8186046511627907, ""support"": 1991}, ""accuracy"": 0.8676684440135725, ""macro avg"": {""precision"": 0.8465767107797882, ""recall"": 0.8835738670611367, ""f1-score"": 0.8572229665581218, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8873737793573183, ""recall"": 0.8676684440135725, ""f1-score"": 0.870994274051658, ""support"": 6189}}",0.8572229665581218,0.8835738670611366,0.3483788770099636,0.3461990797019098
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0301256069797091,2.5794853515625,713,6250,4,6190,"{""artifact"": {""precision"": 0.9774838164931045, ""recall"": 0.8218173213440606, ""f1-score"": 0.8929168273557012, ""support"": 4226}, ""text"": {""precision"": 0.714448236632537, ""recall"": 0.9592668024439919, ""f1-score"": 0.8189524016518148, ""support"": 1964}, ""accuracy"": 0.8654281098546042, ""macro avg"": {""precision"": 0.8459660265628207, ""recall"": 0.8905420618940263, ""f1-score"": 0.8559346145037581, ""support"": 6190}, ""weighted avg"": {""precision"": 0.8940263239492992, ""recall"": 0.8654281098546042, ""f1-score"": 0.8694489546444844, ""support"": 6190}}",0.8559346145037581,0.8905420618940262,0.34767454699613154,0.34638302779931107,6189,"{""artifact"": {""precision"": 0.9664867935245669, ""recall"": 0.8106241067174845, ""f1-score"": 0.8817204301075269, ""support"": 4198}, ""text"": {""precision"": 0.702023988005997, ""recall"": 0.940733299849322, ""f1-score"": 0.8040352006868426, ""support"": 1991}, ""accuracy"": 0.8524802068185491, ""macro avg"": {""precision"": 0.8342553907652819, ""recall"": 0.8756787032834032, ""f1-score"": 0.8428778153971848, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8814091645396788, ""recall"": 0.8524802068185491, ""f1-score"": 0.856729108120682, ""support"": 6189}}",0.8428778153971848,0.8756787032834032,0.3477165650110692,0.34664483520027717
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0555312370124739,2.6427822265625,752,6250,5,6190,"{""artifact"": {""precision"": 0.9716567894872455, ""recall"": 0.8923331755797445, ""f1-score"": 0.93030714197607, ""support"": 4226}, ""text"": {""precision"": 0.8029449978345604, ""recall"": 0.9439918533604889, ""f1-score"": 0.8677743973788907, ""support"": 1964}, ""accuracy"": 0.9087237479806138, ""macro avg"": {""precision"": 0.887300893660903, ""recall"": 0.9181625144701167, ""f1-score"": 0.8990407696774804, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9181269092278153, ""recall"": 0.9087237479806138, ""f1-score"": 0.9104663810085644, ""support"": 6190}}",0.8990407696774804,0.9181625144701167,0.35149478499079123,0.349947227499797,6189,"{""artifact"": {""precision"": 0.9621467461757843, ""recall"": 0.8839923773225346, ""f1-score"": 0.921415270018622, ""support"": 4198}, ""text"": {""precision"": 0.7911663807890223, ""recall"": 0.9266700150678051, ""f1-score"": 0.8535739070090216, ""support"": 1991}, ""accuracy"": 0.8977217644207465, ""macro avg"": {""precision"": 0.8766565634824033, ""recall"": 0.9053311961951698, ""f1-score"": 0.8874945885138218, ""support"": 6189}, ""weighted avg"": {""precision"": 0.907142398545304, ""recall"": 0.8977217644207465, ""f1-score"": 0.899590717788518, ""support"": 6189}}",0.8874945885138218,0.9053311961951698,0.3463848360115662,0.3453769942978397
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.0408270269981585,2.6244287109375,875,6250,6,6190,"{""artifact"": {""precision"": 0.969198642652049, ""recall"": 0.8786086133459536, ""f1-score"": 0.9216830085639816, ""support"": 4226}, ""text"": {""precision"": 0.7825349724459517, ""recall"": 0.939918533604888, ""f1-score"": 0.8540365486930372, ""support"": 1964}, ""accuracy"": 0.8980613893376413, ""macro avg"": {""precision"": 0.8758668075490004, ""recall"": 0.9092635734754209, ""f1-score"": 0.8878597786285094, ""support"": 6190}, ""weighted avg"": {""precision"": 0.909972883639969, ""recall"": 0.8980613893376413, ""f1-score"": 0.9002197376130067, ""support"": 6190}}",0.8878597786285094,0.9092635734754207,0.3469805439817719,0.34399724440008866,6189,"{""artifact"": {""precision"": 0.957983193277311, ""recall"": 0.8689852310624107, ""f1-score"": 0.9113165126155384, ""support"": 4198}, ""text"": {""precision"": 0.7690046199076018, ""recall"": 0.9196383726770467, ""f1-score"": 0.8376029277218664, ""support"": 1991}, ""accuracy"": 0.8852803360801422, ""macro avg"": {""precision"": 0.8634939065924564, ""recall"": 0.8943118018697287, ""f1-score"": 0.8744597201687023, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8971888259192417, ""recall"": 0.8852803360801422, ""f1-score"": 0.8876028678387892, ""support"": 6189}}",0.8744597201687023,0.8943118018697287,0.3435892899869941,0.34464116669842043
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9938863219867926,2.59255859375,653,6250,7,6190,"{""artifact"": {""precision"": 0.9735435595938001, ""recall"": 0.8620444865120681, ""f1-score"": 0.9144076305220884, ""support"": 4226}, ""text"": {""precision"": 0.7618464052287581, ""recall"": 0.9495926680244399, ""f1-score"": 0.8454215775158658, ""support"": 1964}, ""accuracy"": 0.8898222940226171, ""macro avg"": {""precision"": 0.8676949824112792, ""recall"": 0.905818577268254, ""f1-score"": 0.8799146040189771, ""support"": 6190}, ""weighted avg"": {""precision"": 0.906375027901887, ""recall"": 0.8898222940226171, ""f1-score"": 0.8925193254971738, ""support"": 6190}}",0.8799146040189771,0.9058185772682539,0.3472542480158154,0.34703228309808765,6189,"{""artifact"": {""precision"": 0.9582329317269076, ""recall"": 0.8525488327775131, ""f1-score"": 0.9023068196142696, ""support"": 4198}, ""text"": {""precision"": 0.747758761206194, ""recall"": 0.9216474133601206, ""f1-score"": 0.8256467941507312, ""support"": 1991}, ""accuracy"": 0.8747778316367749, ""macro avg"": {""precision"": 0.8529958464665508, ""recall"": 0.8870981230688169, ""f1-score"": 0.8639768068825004, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8905234352805124, ""recall"": 0.8747778316367749, ""f1-score"": 0.8776453055250943, ""support"": 6189}}",0.8639768068825004,0.8870981230688167,0.3476176190015394,0.34801876099954826
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",1.2112471089931205,2.6929384765625,285,6250,8,6190,"{""artifact"": {""precision"": 0.9683742812336644, ""recall"": 0.8767155702792239, ""f1-score"": 0.9202682563338301, ""support"": 4226}, ""text"": {""precision"": 0.7796108291032149, ""recall"": 0.9383910386965377, ""f1-score"": 0.8516635859519408, ""support"": 1964}, ""accuracy"": 0.8962843295638127, ""macro avg"": {""precision"": 0.8739925551684397, ""recall"": 0.9075533044878807, ""f1-score"": 0.8859659211428854, ""support"": 6190}, ""weighted avg"": {""precision"": 0.9084822909292698, ""recall"": 0.8962843295638127, ""f1-score"": 0.8985009586553115, ""support"": 6190}}",0.8859659211428854,0.9075533044878807,0.3469486339890864,0.34863784959889016,6189,"{""artifact"": {""precision"": 0.9579744192116941, ""recall"": 0.8742258218199143, ""f1-score"": 0.9141860754763981, ""support"": 4198}, ""text"": {""precision"": 0.7760814249363868, ""recall"": 0.9191361125062782, ""f1-score"": 0.8415727753506553, ""support"": 1991}, ""accuracy"": 0.888673452900307, ""macro avg"": {""precision"": 0.8670279220740404, ""recall"": 0.8966809671630962, ""f1-score"": 0.8778794254135267, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8994594811599672, ""recall"": 0.888673452900307, ""f1-score"": 0.8908263920783768, ""support"": 6189}}",0.8778794254135267,0.8966809671630963,0.3469985180126969,0.34741803189972414
0,6250,"{'charrep__repl_all_caps': False, 'vect__ngram_range': (1, 3), 'vect__stop_words': None, 'vect__lowercase': False}",0.9868420340062585,2.544751953125,218,6250,9,6190,"{""artifact"": {""precision"": 0.9641799084298411, ""recall"": 0.8471367723615713, ""f1-score"": 0.9018768106814461, ""support"": 4226}, ""text"": {""precision"": 0.7392006459426725, ""recall"": 0.9322810590631364, ""f1-score"": 0.8245890565188021, ""support"": 1964}, ""accuracy"": 0.8741518578352181, ""macro avg"": {""precision"": 0.8516902771862569, ""recall"": 0.8897089157123539, ""f1-score"": 0.8632329336001241, ""support"": 6190}, ""weighted avg"": {""precision"": 0.8927971505098413, ""recall"": 0.8741518578352181, ""f1-score"": 0.8773544925594053, ""support"": 6190}}",0.8632329336001241,0.8897089157123539,0.35710927899344824,0.351840933598578,6189,"{""artifact"": {""precision"": 0.9538920531597505, ""recall"": 0.8377798951881849, ""f1-score"": 0.8920735573874444, ""support"": 4198}, ""text"": {""precision"": 0.7278177458033573, ""recall"": 0.9146157709693621, ""f1-score"": 0.8105942577342533, ""support"": 1991}, ""accuracy"": 0.862497980287607, ""macro avg"": {""precision"": 0.8408548994815539, ""recall"": 0.8761978330787734, ""f1-score"": 0.8513339075608488, ""support"": 6189}, ""weighted avg"": {""precision"": 0.8811639959701272, ""recall"": 0.862497980287607, ""f1-score"": 0.865861683803747, ""support"": 6189}}",0.8513339075608488,0.8761978330787734,0.348558004014194,0.35316220780077856
