,alpha,lower,upper,mean,label
0,95.0,93.58229521786616,94.77207283565724,0.9414127689429002,Multilang_VS2
0,95.0,94.97022353594896,95.83861649474778,0.9540525032440043,cpp_VS2
0,95.0,94.74044878106628,95.54326572359815,0.9515480393116905,Multilang_VS2
0,95.0,95.02120337587502,95.85566942756472,0.9551261551032069,java_VS2
0,95.0,93.90898059221293,95.33354230035367,0.9475020884726844,Multilang_VS2
0,95.0,95.02138968058183,95.91919303203763,0.9551552104040433,javascript_VS2
0,95.0,89.46785845978174,91.55223188722763,0.9040090914115905,Multilang_VS2
0,95.0,90.42168049457432,91.60627405865702,0.9103652889886333,php_VS2
0,95.0,90.6802957295213,91.48147567816615,0.9111909134288344,Multilang_VS2
0,95.0,91.11341288007306,91.7846049488259,0.9144175398102787,python_VS2
